Index,Sigma,Freq,Ratio_SF,True_Thickness,Pred_Thickness,Error_Abs,Ratio_Category,Thick_Category
0,-4.583865e-10,6.7999997,-6.740978156564928e-11,2.0000003047648285,2.2948494,0.29484909098712464,低比值 (容性主导),薄环流
1,0.08,16.4,0.004878048784622594,10.000000026922422,10.012814,0.01281354119281275,中比值 (过渡区),中等环流
2,0.08,2.6000001,0.030769228376737692,4.000000183988009,4.194913,0.19491272647341695,高比值 (阻性主导),薄环流
3,0.04,19.8,0.0020202020527879784,18.000000159609748,18.092613,0.09261306060509611,低比值 (容性主导),厚环流
4,0.06,11.4,0.005263157952751557,23.999999797279294,23.461811,0.5381887316054659,中比值 (过渡区),厚环流
5,0.08,6.7999997,0.011764706112647847,13.99999999063365,14.446119,0.44611931783802916,高比值 (阻性主导),中等环流
6,0.02,6.0,0.003333333258271972,6.00000006321119,6.3014364,0.30143636104418103,低比值 (容性主导),薄环流
7,0.02,19.6,0.0010204081205454057,2.0000003047648285,1.876423,0.12357730347546081,低比值 (容性主导),薄环流
8,0.08,4.4,0.018181817377210367,4.000000183988009,4.1732693,0.1732690878625771,高比值 (阻性主导),薄环流
9,-4.583865e-10,6.7999997,-6.740978156564928e-11,12.000000008778036,12.302463,0.30246256904178814,低比值 (容性主导),中等环流
10,0.12,0.40000024,0.2999998092603118,6.00000006321119,6.4741735,0.4741734826262123,高比值 (阻性主导),薄环流
11,0.04,15.6,0.002564102443925562,13.99999999063365,14.328061,0.32806111318715026,低比值 (容性主导),中等环流
12,0.02,0.7999999,0.02500000276271809,12.000000008778036,11.5700655,0.4299345104259853,高比值 (阻性主导),中等环流
13,0.06,16.6,0.0036144576672575215,2.0000003047648285,2.3010569,0.3010565571126129,低比值 (容性主导),薄环流
14,0.12,14.6,0.00821917768316468,13.99999999063365,14.18345,0.18344975454457213,中比值 (过渡区),中等环流
15,0.08,8.4,0.009523809742307375,18.000000159609748,18.16069,0.16069014800743986,高比值 (阻性主导),厚环流
16,0.12,14.6,0.00821917768316468,6.00000006321119,5.9580946,0.04190546634839709,中比值 (过渡区),薄环流
17,-4.583865e-10,4.6,-9.96492401807336e-11,21.999999918056112,22.467804,0.4678040370220131,低比值 (容性主导),厚环流
18,0.08,7.2,0.01111111115555914,20.00000003883293,20.112514,0.11251445701667961,高比值 (阻性主导),厚环流
19,0.06,17.6,0.0034090907588080386,21.999999918056112,22.37764,0.3776398524517006,低比值 (容性主导),厚环流
20,-4.583865e-10,3.8,-1.20628026594499e-10,7.999999942434371,8.350573,0.350572643625199,低比值 (容性主导),薄环流
